Date/Time,FIRSTFLOOR_1:Zone Mean Radiant Temperature [C](Hourly),ROOF_0:Zone Mean Radiant Temperature [C](Hourly),FIRSTFLOOR_1:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ROOF_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),FIRSTFLOOR_1:Zone Windows Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Windows Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Opaque Surface Inside Faces Total Conduction Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Opaque Surface Inside Faces Total Conduction Heat Loss Energy [J](Hourly),ROOF_0:Zone Windows Total Heat Gain Energy [J](Hourly),ROOF_0:Zone Windows Total Heat Loss Energy [J](Hourly),ROOF_0:Zone Opaque Surface Inside Faces Total Conduction Heat Gain Energy [J](Hourly),ROOF_0:Zone Opaque Surface Inside Faces Total Conduction Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Mean Air Temperature [C](Hourly),FIRSTFLOOR_1:Zone Operative Temperature [C](Hourly),ROOF_0:Zone Mean Air Temperature [C](Hourly),ROOF_0:Zone Operative Temperature [C](Hourly),FIRSTFLOOR_1:Zone Infiltration Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Infiltration Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Ventilation Total Heat Loss Energy [J](Hourly),FIRSTFLOOR_1:Zone Ventilation Total Heat Gain Energy [J](Hourly),FIRSTFLOOR_1:Zone Air Relative Humidity [%](Hourly),ROOF_0:Zone Air Relative Humidity [%](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),FIRSTFLOOR_1 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ROOF_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.03664469657786362,-0.27198457058362563,0.0,0.0,0.0,602262.4232228268,600973.0655348698,0.0,0.0,0.0,0.0,105707.37310974451,-5.1918550895990734e-17,0.018322348288931783,-0.20670597370454882,-0.23934527214408718,835369347.0723752,0.0,0.0,0.0,63.43832673106865,62.734426074541716,837244541.367498,0.0,837244541.367498,6.984919309616089e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  02:00:00,0.03272793676963351,-0.3794635730783365,0.0,0.0,0.0,451177.46931059094,464913.27203072,0.0,0.0,0.0,0.0,87566.94701258409,-8.561796881582842e-19,0.016363968384816754,-0.3192439518650289,-0.3493537624716827,539744545.2462456,0.0,0.0,0.0,65.10788720321527,63.18548696944726,539723343.4920201,0.0,539723343.4920201,1.7462298274040222e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  03:00:00,0.03300656497110139,-0.43801971878771956,0.0,0.0,0.0,395114.90677120857,419037.4546272848,0.0,0.0,0.0,0.0,49663.927251419256,-5.2780221310463755e-17,0.016503282485550667,-0.3926426686645568,-0.4153311937261382,435280115.4862561,0.0,0.0,0.0,66.93472004370857,63.56941676441806,436060179.3689094,0.0,436060179.3689094,3.4924596548080444e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  04:00:00,0.043568306563504654,-0.4576613068688519,0.0,0.0,0.0,343903.0044306164,388162.6673502433,0.0,0.0,0.0,0.0,16027.58487139871,-2.7087140447798317e-17,0.021784153281752316,-0.423308015919746,-0.440484661394299,362761036.14979637,0.0,0.0,0.0,66.68021443753499,63.73059076642323,362093208.8035169,0.0,362093208.8035169,8.731149137020111e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  05:00:00,0.03978238002392032,-0.45693418918436635,0.0,0.0,0.0,391728.16893550736,420313.83430787444,0.0,0.0,0.0,2670.4510379796347,558.8475330341112,-2.675448576156138e-17,0.019891190011960148,-0.4296912141027232,-0.4433127016435448,465772605.80136657,0.0,0.0,0.0,65.27776540353729,63.76419971712061,465645297.32968616,0.0,465645297.32968616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  06:00:00,0.032203614558064746,-0.45053625146558834,0.0,0.0,0.0,421687.1217325793,437066.07276657777,0.0,0.0,0.0,4776.665558570003,0.0,-1.0459338897189416e-16,0.01610180727903232,-0.4260684844561787,-0.43830236796088357,541985241.749234,0.0,0.0,0.0,62.07231333990208,63.82100376580621,540348571.2623166,0.0,540348571.2623166,1.7462298274040222e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  07:00:00,0.018543251134715725,-0.4493109780048445,0.0,0.0,0.0,457706.45384790096,445937.16619632,0.0,0.0,0.0,270.0432242202453,1487.8903962315603,1.544001036265971e-16,0.009271625567357939,-0.4244513567643131,-0.4368811673845789,644889424.1223685,0.0,0.0,0.0,56.821218447376516,63.866680000841505,643116712.4018035,0.0,643116712.4018035,1.7462298274040222e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  08:00:00,-0.014687647069197946,-0.4544416360541803,112087.57943882822,0.0,0.0,499313.03892138595,423299.86490960245,0.0,0.0,0.0,0.0,6944.0331638422085,-9.807089316973296e-17,-0.0073438235345990215,-0.4284692469406141,-0.44145544149739724,923102914.9212458,0.0,0.0,0.0,55.71157664844157,63.88788215022253,923998112.7852678,0.0,923998112.7852678,3.4924596548080444e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  09:00:00,0.04416652374864904,-0.46421175969521994,952709.3039682982,0.0,417842.1368119605,14202.767217892264,2214.234197784893,406737.6940026703,0.0,0.0,13.351177944969095,8058.063480903354,4.912873411909e-17,0.02208326187432454,-0.43842528064899905,-0.4513185201721095,863675061.1036048,0.0,0.0,0.0,58.173693139589005,63.97843830525721,865042533.7701662,0.0,865042533.7701662,1.7462298274040222e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  10:00:00,0.16849447704151868,-0.4342482099036422,1726942.7467890466,0.0,1271973.0108613067,0.0,0.0,1120896.3568512832,0.0,0.0,27755.219312399517,0.0,-5.1510691537844026e-17,0.08424723852075933,-0.4308083844870685,-0.4325282971953553,717486887.9938585,0.0,0.0,0.0,59.514836646394535,64.0032638455124,717326795.4025346,0.0,717326795.4025347,1.7462298274040222e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
